"river name","area","nodes"
"Kerian",1478.59491275,216
"Kersang",677.398173519,69
"Kirindi.Oya",1177.96601395,106
"Klong.Khruv.Wai",465.417178643,81
"Korea.un.2",696.939062757,76
"Korea.un.3",391.976852006,32
"Koya",303.499399644,37
"Kuam.chon",235.148715259,22
"Kongnung.chon",249.262343211,24
"Kokpokchan",542.88775071,52
"Yudong.josuji",232.386318188,20
"Ma.chon",339.329938843,28
"Yonghae.gang",238.164199891,10
"Kobu.chon",238.57059248,28
"Kuantan",1637.58083324,208
"Kuiburi",659.997924089,52
"Kum",9779.06068852,850
"Kumbukkan.Oya",1224.26193706,94
"Kundalika",667.24328397,176
"Kuppam",497.275067602,77
"Kurau",650.589174956,95
"Kuttiadi",735.840429132,147
"Ky.Lo",1856.28675042,196
"Lanyang",1168.20316464,155
"Lianjiang",3338.36242094,397
"Lingshui.He",1120.53787251,134
"Liugu.He",3128.48970189,165
"Ma.Oya",1017.93607479,78
"Maduru.Oya",1499.59678324,139
"Maehwa",514.961433002,36
"Magalavatavan.Aru",392.561524311,28
"Mageonggang",1407.55530208,126
"Maha.Oya",1509.83765647,171
"Mahaweli.Ganga",10512.8013756,909
"Mahi",404.193988485,93
"Maksimouka",2238.31542547,128
"Malala.Oya",395.598340401,43
"Mandad",232.652232846,52
"Maoling",2890.43329566,398
"Matsuura",407.427166761,56
"Meenachil",1268.42803595,195
"Menik.Ganga",1373.30280055,104
"Mi.Oya",1498.02598044,98
"Modaragam.Aru",994.580523638,66
"Moyanjiang",4926.05695326,638
"Muar",6042.35973578,647
"Mundeni.Aru",1332.09110922,116
"Nandu",7104.77555539,813
"Nay.Aru",292.818424575,14
"Neyyar",485.809722748,42
"Nilwala.Ganga",1036.92312379,134
"Niyangolle.Ela",249.073817614,24
"Ong",259.573388912,22
"Ooyodo",2189.00127915,362
"Osip",382.7580255,28
"Pak.Phanang",2333.58041299,295
"Pamba",3939.34343568,545
"Pankulam.Aru",447.747576093,29
"Parangi.Aru",792.787476724,34
"Patalganga.Bhogawati",794.890701709,221
"Pattani",3923.59094942,515
"Per.Aru",458.066898211,21
"Perlis",716.689399054,87
"Pha",3004.58682961,246
"Phetchaburi",5428.83042478,400
"Phong.Nha",1830.21322147,210
"Pinan",1597.21409143,223
"Pontian.Besar",389.349858303,62
"Qinjiang",2352.91995327,266
"Rathambala.Oya",240.148073715,18
"Ratmal.Oya",319.294267505,30
"Ruianjiang",3394.6071412,319
"Sapgyocheon",960.191649842,88
"Savitri",2262.85302157,472
"Semberong",2080.66324561,233
"Shiriya",618.241643757,158
"Suifen",16785.8555716,790
"Sumjin",4831.43907978,405
"Sungai.Merbok",382.862503965,62
"Taan",778.540454619,94
"Tachia",1237.08626217,160
"Tadu",2036.96137983,307
"Taehwagang",665.417017858,58
"Taiyang.He",586.974702938,65
