"river name","area","nodes"
"Jallabi",1676.61281561,90
"Shor",2024.39096211,104
"Deshgan",8106.1736462,460
"Mazabi",3146.13737523,157
"Jegeen",6457.02347144,293
"Barm.e.Shor",1334.14172171,66
"Heyan",8502.57754328,446
"Gabreek",4638.49607568,219
"Sediah",4609.57156732,213
"Gaz",1245.50212028,54
"Nikshahr",4953.06209079,227
"Wadi.Fayah",1631.98172453,84
"Wadi.Sharm",2191.52620519,74
"Wadi.Hatta",482.252183587,28
"Wadi.Halfain",17117.0609575,770
"Wadi.Maur",8728.25507773,376
"Wadi.al.Bahr",1522.88365332,70
"Actopan",1975.4673344,157
"Aguan",10729.9166341,933
"Alafia",1128.48142643,64
"Ameca",12281.4607814,707
"Armeria",9703.71101014,494
"Bebedero",2059.48846457,262
"Belize",8492.91954875,788
"Bonito",426.663354469,42
"Calcasieu",10165.9115785,683
"Caloosahatchee",17295.2518545,766
"Candelaria",14608.7372523,777
"Cangrejal",496.81662516,47
"Chagres",3378.23524375,456
"Chamelecon",4425.06413017,375
"Champoton",12769.654162,593
"Changuinola",3216.26937812,607
"Chiriqui.Viejo",1585.12187084,219
"Choluteca",8039.47716089,462
"Cocle.del.Norte",1738.36946212,180
"Coto",1141.26489363,212
"Cuero.Salado",429.697542339,50
"Danto",265.716903037,32
"Deep.Bel",821.808054543,121
"Edisto",7471.56598532,444
"Escambia",10975.2331803,890
"Esclavos",2047.99646468,194
"Estero.Real",3694.36114342,333
"Fortuna",585.002541538,48
"Goascoran",2748.82649213,184
"Golden.Stream",277.752243514,60
"Grande.Belize",783.019409669,116
"Guadalupe",15777.6458279,784
"Hillsborough",1811.49408585,98
"Hondo",7364.19763393,299
"Housatonic",5005.83412442,513
"Lancetilla",404.91311691,38
"Lavaca",5865.60649714,268
"Lean",1007.82436471,106
"Lislis",385.177097201,48
"Little.Manatee",558.959888682,24
"Manatee",571.860962416,18
"Maria.Lucinda",2344.53304674,204
"Matina",1600.85238125,383
"Mayo",14121.9425179,697
"Miramichi",11800.1783976,977
"Moho",1188.9715988,177
"Monkey",863.571518457,87
"Myakka",1310.01634641,74
"Nacaome",2557.56061997,170
"Negro.Nicaragua",2372.43189619,191
"New.Belize",1775.63751814,112
"North.Stann",292.529181295,38
"Northern",618.337849158,24
"Ochlockonee",5655.68265809,356
"Ogeechee",11547.4659575,655
"Peconic",251.159368355,30
"Perdido",2283.7637399,188
"Pirris",1384.11199297,252
"Platano",1040.9087075,145
"Progresso",568.144227265,26
"Rappahannock",5037.20231313,305
"Coxcoapan",241.838686484,46
"Ribra",688.188106953,91
"Parismina",2778.06922808,414
"Madre.de.Dios",251.456730903,27
"Grande.Panama.2",2194.6331473,190
"Saint.Mary.s",3294.80269105,141
"Sainte.Croix",3941.73255045,338
"San.Antonio",10783.7299464,517
"San.Fernando",18933.4458997,907
"San.Pedro.Panama",910.608621213,106
"Santa.Maria.Pan",3321.06582716,349
"Sibun",1101.14104697,93
"Sico",6494.73000158,630
"Sixaola",2902.75694783,555
"Soto.la.Marina",20901.8524203,934
"Tar",8114.346164,411
"Tarcoles",2138.76345138,402
"Temash",421.109396544,66
"Tempisque",3231.43403723,360
"Terraba",4865.4714755,948
"Tonala",5279.49249104,646
"Waccasassa",1666.82755566,81
"Warunta",1331.57625723,214
"West.river",428.96111086,43
"Withlacoochee",4717.72710674,260
"York.USA",3800.1688059,221
"Neuse",11703.2614886,671
"Papagayo",7590.05380052,576
"Peace",5870.96434215,279
"Satilla",8886.89394148,442
"Sierpe",1022.62138011,201
"Tehuantepec",10133.9100108,597
"Presumpscot",1704.26773687,166
"Saco",4419.75250705,530
"Cocheco",2555.8596955,240
"Blackstone",1662.03692871,144
"Passaic",2448.5764253,206
"Raritan",2833.96875915,226
"Pocomoke",1285.75196796,77
"Wicomico",443.853597886,30
"Nanticoke",1837.97675158,130
"Transquaking",333.014629287,18
"Choptank",1215.48636836,75
"Patuxent",1676.8168428,120
"Mattaponi",2347.33305676,134
"Appomattox",4169.18957078,254
"Meherrin",11997.9017953,680
"Cooper",1861.40875142,96
"Ashley.USA",1035.42768199,54
"Combahee",4351.47875958,176
"Nassau",1109.13892909,34
"Aucilla",2503.3334713,154
"Saint.Marks",2265.93933343,147
"Choctawhatchee",11879.8076642,910
"Yellow",3506.31523285,291
"Blackwater.USA",2167.4438758,190
"Escatawpa",2798.50887087,229
"Mermentau",7466.81219651,517
"Cedar.Bayou",611.589168638,36
"San.Jacinto",7398.11143643,321
"Greens.Bayou",2676.11796476,59
"San.Bernard",2581.65011716,100
"Mission",2576.27796273,100
"Aransas",2290.91207411,84
"Petronila.creek",2694.15965049,100
"Los.Olmos.creek",1800.98245164,66
"Quinebaug",4753.86131519,346
"Cosumnes",5834.2409148,260
"Huixtla",1201.56583032,42
"Jamapa",3891.53924804,303
"Grande.de.San.Miguel",2327.16362276,189
"San.Nicolas",773.235698208,102
"Vado.Ancho",401.514663636,52
"Kanariktok",10763.6679543,887
"Dean",7799.02971529,527
"Klinaklini",5735.56419507,386
"Homathako",5768.35823414,398
"Cascapedia",3135.5808207,287
"Bonaventure",2387.91209275,255
"Grand.Pabos",625.79617346,54
"Petit.Pabos",249.322993854,21
"Stillaguamish",1748.8883995,223
"Port.Daniel",254.262889911,16
"Snohomish",4545.24661446,685
"Cedar",1532.19036478,175
"Skokomish",622.157893584,91
"Green",1187.87651024,129
"Chehalis",5459.55379908,863
"Goldsborough",498.214813831,66
"Puyallup",2645.05259787,349
"Nisqually",1883.67091858,240
"Deschutes",448.246840852,54
"Margaree",1156.76564099,153
"Petitcodiac",1993.17577227,201
"Siuslaw",2000.55378006,274
"Coos",1126.36904727,158
"Coquille",2704.92564431,398
"Russian",3853.1276106,353
"Gualala",908.51493453,66
"Napa",1106.74812226,78
"Alemeda.creek",1898.53713603,96
"Coyote.creek",1704.43841222,52
"Pajaro",3357.25250271,136
"Salinas",11096.4530892,578
"Santa.Maria.Cal",4726.92319297,230
"San.Gabriel",2100.58645621,91
"Los.Angeles",2031.29551042,96
"Santa.Ana",6411.8597958,301
"Sonoyta",12542.038612,651
"Matape",1046.96702502,42
"Oso.creek",543.119042072,27
"Palo.Blanco.creek",2671.37087829,94
"Vargas.creek",5452.8326427,255
"Sinaloa",12890.2316999,594
"Culiacan",16418.2352011,834
"San.Lorenzo",10046.7094815,543
"Elota",2325.39063856,110
"Piaxlta",6922.86110108,314
"Presidio",6001.4638076,312
"Acaponeta",5511.70565313,288
"Tuxpan",5891.92420325,532
"Cazones",2800.98716202,270
"Tecolutla",7793.72006811,690
"Tulum",609.111236891,28
"Nautla",2785.41216745,262
"Coahuanyana",7123.21632549,339
"Purificacion",1563.5852167,82
"Cuitzmala",1073.42961899,45
"Cihuatlan",2154.65092609,104
"Kas",512.197470445,26
"Indio",951.112557707,34
"Rio.de.Cana",354.406708173,16
"Palizada",2174.84376694,220
"Grande.Mexico.Pacifico",6979.28498934,821
"La.Sabana",703.321940897,50
"Tlachimala",1261.00655918,114
"Sittee",509.803293354,58
"Zimatlan",473.764014705,28
"Urbina",346.249451395,36
"Pedregal",260.426155758,16
"Pijijiapan",319.906295006,44
"Suchiate",1409.38494802,158
"Tauro",450.81835167,110
"Motoro",454.013775379,62
"Barranca",453.515270779,66
"Jesus.Maria",228.729818657,31
"Estrella",727.184933668,155
"Tabasara",1195.42200675,131
"Cachoeirinha",228.815100189,16
"Aroa",2453.0345022,106
"Bayano",4893.57608359,576
"Benevente",1121.51289496,74
"Buranhem",2692.1049607,130
"Cachoeira",4758.41676839,227
"Cahy",425.630355153,24
"Carvao",2459.29119053,160
"Comte",3605.02504057,711
"Corrientes",865.039303177,84
"Cubatao",802.322858305,61
"Cusewijne",5070.13597918,552
"Dagua",1452.98008784,335
"Das.Almas",2991.3396421,181
"El.Pescado",520.252235036,22
"Frades",1452.3437344,61
"Guanipa",10278.333075,419
"Guapo",832.810471041,38
"Guariquen",1139.14492344,36
"Iracoubo",1067.41852586,171
"Itanhaem",926.706951685,136
"Itanhem",6460.78014124,319
"Itaunas",4687.57812904,236
"Jequirica",6660.70811759,332
"Joao.de.Tiba",1771.7257071,78
"Jucurucu",5895.04650663,302
"Karouabo",289.942378261,55
"Kourou",1799.30351394,324
"Macacu",2106.74916993,189
"Manzanares",1129.71937388,50
"Mucuri",15562.8051482,738
"Neveri",4263.71544575,200
"Nhundiaquara",684.938750192,93
"Nickerie",9942.28340009,912
"Novo",770.669009575,26
"Paria1",497.351643526,16
"Peruipe",5144.65570771,197
"Rancheria",4330.33910527,214
"Reis.Magos",743.054614859,40
"Cubatao.2",759.649624073,88
"Gravatai",2017.63675213,168
"Arroio.do.Ribeiro",779.109540301,64
"Arroio.Velhaco",1154.17338195,76
"Rosario",1847.72250638,162
"Arroyo.Martin",409.651636343,12
"Samborombon",5473.85607075,282
"Grande.Argentina.2",8215.81329562,336
"Capivari",904.62373712,64
"Cangandi",334.310488604,48
"Sambu",1389.51416094,229
"Moruka",725.337682619,76
"Riviere.de.Kaw",831.868123755,168
"Tumbez",5372.05186662,288
"Apodi",14260.4215587,625
"Ceara.Mirim",2629.21143992,124
"Pium",425.250685343,22
"Paraiba",19716.8764058,926
"Paraiba.2",3660.31165833,226
"Estrela",457.674350209,20
"Serra.Negra",822.751912966,64
"San.Juan.Venezuela",8477.85601827,388
"Santiago",6062.90510901,856
"Sao.Joao",2105.54163361,195
"Sao.Mateus",13048.5614031,594
"Sauce.Grande",4636.33542711,236
"Sinos",8751.07374538,779
"Tocuyo",17650.4002497,843
"Tuy",6577.91142869,336
"Urama",587.939184221,28
"Yaracuy",2470.53099647,116
"Jaguaripe",2971.32532011,152
"Jurubatuba",486.933141165,30
"Riviere.de.Cayenne",805.619006857,135
"Mundau",4129.4772464,251
"Padreco",288.624822738,20
"Grande.Ubatuba",230.025158366,10
"Indaial",554.437316454,50
"Oropouche.north",357.235578717,28
"Caroni",732.960747236,47
"Nariva",334.769476716,26
"Ortoire",446.810906786,30
"Oropouche.south",481.445946185,31
"Rio.D.Una",1076.63020828,109
"Rio.de.la.Matanza",2180.45602091,126
"Sarandi",1351.02007915,118
"Laguna.Salada.Grande",2713.52119374,54
"Jequetepeque",4155.04730188,193
"Jaboatao",930.030833135,88
"Santo.Antonio.Grande",796.61022178,75
"Areias",237.506099953,19
"Santo.Antonio",717.614322981,42
"Caraiva",1318.41239475,68
"Corumbau",272.470663478,14
"Piraque.Mirim",389.301177476,14
"Santa.Maria.Brazil",1780.90720546,110
"Copiapo",18441.5299131,911
"Huasco",9776.49157229,441
"Aconcagua",7318.87682547,348
"Maipo",15095.0590527,782
"Rapel",13783.9276405,776
"Maldonado",1485.94730056,119
"Mataquito",6303.85408571,478
"Andalien",767.469148081,94
"Quequen.Salado",9902.9570517,416
"Quequen.Grande",10052.8754733,484
"Tres.Arroyos",2929.14173705,124
"Malacara",1465.94633018,30
"Cristiano.Muerto",1002.63115675,48
"Naposta.Grande",1295.68714944,64
"Cortaderas",1290.19356075,62
"Naposta.Chico",1392.57206841,62
"Petrohue",2672.23386386,458
"Maullin",3114.12340398,383
"Puelo",9165.53400686,890
"Ohota",20240.3214117,949
"Inya",19619.274513,976
