MAIN_BAS,area,nodes
4070050910,10741.3,9
4070050920,10706.8,9
4070050950,9891.8,9
4070050980,9497.6,9
4070051000,9400.9,9
4070051070,8379.7,8
5070001960,11947.9,9
5070003610,9202.8,9
5070003690,19228.4,9
5070004000,11645.2,9
5070004220,20388.7,9
5070004510,17440.4,9
5070004800,42680.5,17
5070005140,54847.9,25
5070005500,9711.0,9
5070010700,15836.1,9
5070010810,11125.7,9
5070015820,60622.8,25
5070015870,15993.9,9
5070016040,19132.4,9
5070016080,14606.9,9
5070016380,13709.5,9
5070016640,11125.0,9
5070017030,83876.6,33
5070017060,9116.4,9
5070017820,45413.1,25
5070018260,22371.9,9
5070018510,9203.4,9
5070019300,16091.5,9
5070020060,10298.4,9
5070020110,15879.9,9
5070020270,29917.3,9
5070020460,14479.5,10
5070021180,76429.5,33
5070024400,11979.3,9
5070025710,20064.6,9
5070029400,9487.8,9
5070030230,27711.9,9
5070041010,9459.9,9
5070041230,31687.7,10
5070041390,16574.6,10
5070041650,10712.2,9
5070041870,63708.0,25
5070042830,25597.9,9
5070043020,9566.8,9
5070043310,27955.8,9
5070046910,79015.8,25
5070047720,80131.2,33
5070047760,17822.6,9
5070048610,12712.0,9
5070056250,22582.6,9
5070056430,11280.6,9
5070056460,99518.7,75
5070056510,13737.5,9
5070056610,12164.8,9
5070056740,65654.1,52
5070057060,10496.2,10
5070057320,73672.0,41
5070057710,77104.1,25
5070057970,47927.6,17
5070058580,53454.5,9
5070059440,95694.5,41
5070059560,10069.2,9
5070060860,15722.5,9
5070061140,14237.9,9
5070061240,52662.1,9
5070061660,99412.5,58
5070062110,54522.5,33
5070062580,11228.9,9
5070063210,10416.6,9
5070064130,77474.2,49
5070064280,15335.5,9
5070064530,17972.6,9
5070065420,43398.3,18
5070065470,32658.4,17
5070065600,107783.5,49
5070065630,49405.8,25
5070065780,40548.5,17
5070065850,25532.2,9
5070065980,63660.5,33
5070066180,10089.7,9
5070066270,11984.7,9
5070067410,9308.6,9
5070067450,13373.5,9
5070068450,129696.2,66
5070069590,140914.3,57
5070069960,33211.5,9
5070070390,13652.3,9
5070070700,22150.7,9
5070070900,11355.4,9
5070071130,21293.7,9
5070071270,20774.9,9
5070071980,15085.5,9
5070072180,10855.2,9
5070073130,13227.5,9
5070073410,775219.9,434
5070075500,18975.1,10
5070084670,11928.2,9
5070084900,20630.4,9
5070085810,14398.5,9
5070087590,736713.1,524
5070087600,78249.7,33
5070087610,71783.0,8
5070087620,64371.7,41
5070087640,56928.8,9
5070087660,53170.8,32
5070087670,50103.9,27
5070087680,45837.1,17
5070087690,45115.5,17
5070087710,43488.1,9
5070087720,39641.5,17
5070087730,38808.2,17
5070087740,36624.6,9
5070087750,35899.4,9
5070087760,32840.8,25
5070087780,31166.5,9
5070087790,30326.5,9
5070087800,29956.9,9
5070087810,29369.3,9
5070087820,27500.1,9
5070087830,27130.1,9
5070087840,26759.0,8
5070087850,25921.1,9
5070087860,25655.1,9
5070087870,22726.7,9
5070087900,18413.9,9
5070087910,17778.3,9
5070087950,17067.5,9
5070087960,16957.5,9
5070087970,15776.0,9
5070087980,15248.5,9
5070088010,14537.8,9
5070088030,14035.4,9
5070088040,13960.9,9
5070088050,13924.9,9
5070088060,13847.1,9
5070088080,13804.1,9
5070088090,13736.5,9
5070088140,11835.0,9
5070088150,11630.4,9
5070088160,11255.4,9
5070088200,10317.4,9
5070088210,10273.4,9
5070088220,10252.5,9
5070088230,9882.8,9
5070088240,9849.6,9
5070088250,9697.5,9
5070088260,9677.8,9
5070088300,8763.8,9
2070000240,23856.5,9
2070001220,23748.1,10
2070001360,21248.7,9
2070001450,20750.1,9
2070001720,10385.2,10
2070002610,24363.9,10
2070002830,16759.2,9
2070003240,23745.5,9
2070003550,62798.6,33
2070004130,75678.8,28
2070004280,36321.9,17
2070005120,22011.4,9
2070005270,13510.9,9
2070006110,52399.2,25
2070006380,13494.1,9
2070006480,9190.6,9
2070006590,437307.8,200
2070007120,19206.9,9
2070007930,509823.5,215
2070008000,63568.9,41
2070008350,73157.8,33
2070008490,786750.0,381
2070009480,52512.1,25
2070009730,16801.3,9
2070009900,24502.9,9
2070010040,9300.6,10
2070011990,17226.4,9
2070012980,14458.9,9
2070013010,73289.6,25
2070015610,16667.7,10
2070016020,9150.2,9
2070016510,95895.5,58
2070017150,84763.2,42
2070017480,21429.7,10
2070017690,16598.6,10
2070018360,56432.9,26
2070018460,66926.5,24
2070018840,70756.0,42
2070019150,97238.7,49
2070019310,16651.4,9
2070020330,16831.2,9
2070020590,55941.2,26
2070020620,23784.0,9
2070020730,9773.3,9
2070021030,116722.9,57
2070021110,10459.3,9
2070022150,73249.2,25
2070022770,19001.5,9
2070022970,32770.7,9
2070023010,163008.5,73
2070023320,10569.5,9
2070023600,12103.2,9
2070023940,44776.2,9
2070024170,138382.3,57
2070026060,118791.1,65
2070026550,192632.1,73
2070026920,92523.9,33
2070027120,11843.3,9
2070027290,17504.1,9
2070027320,85612.9,41
2070027350,9160.7,9
2070028110,56229.3,25
2070028140,13363.6,9
2070028310,285331.2,113
2070028660,26798.3,9
2070029320,24568.2,9
2070029940,25804.2,9
2070030060,53536.4,25
2070030100,40545.4,17
2070030160,17095.0,9
2070030260,24954.8,9
2070030480,12531.3,9
2070030650,27547.2,9
2070031060,31435.6,17
2070031160,26414.9,9
2070031210,12869.9,9
2070031410,20172.9,9
2070031490,28435.0,9
2070031740,22700.2,9
2070031960,15124.2,9
2070033320,49859.1,17
2070033490,41121.9,17
2070033670,17189.2,9
2070033770,11109.4,9
2070038520,9020.5,9
2070039020,16749.7,9
2070039390,17831.3,9
2070039590,26402.9,9
2070039730,9368.2,9
2070040130,14246.1,9
2070040470,10012.5,9
2070040730,12477.3,9
2070040810,10344.3,9
2070041120,41492.0,17
2070041180,31323.5,17
2070041420,63771.2,33
2070041840,346666.1,129
2070042270,12786.8,9
2070042370,76752.7,41
2070043720,312705.4,153
2070044320,12576.7,9
2070044660,16884.2,9
2070049660,10975.1,9
2070053240,9309.8,9
2070053260,11714.6,9
2070053790,13323.4,9
2070054780,11772.5,9
2070065960,11589.0,9
2070066030,36401.2,9
2070066340,27746.9,14
2070066490,25531.5,16
2070067280,20016.2,10
2070067570,69264.3,27
2070067650,74239.9,25
2070067740,210581.2,74
2070068680,1404107.6,593
2070068710,51386.4,17
2070068970,42821.9,9
2070069150,42927.0,25
2070069200,14085.0,9
2070070050,188377.7,99
2070070510,58651.4,25
2070071260,34557.6,25
2070071690,31058.3,18
2070071710,20678.0,9
2070072430,10302.0,9
2070072590,42103.7,17
2070072920,40250.6,10
2070073020,10682.7,10
2070073280,14490.2,9
2070073420,13064.2,9
2070073570,829646.9,428
2070073610,12643.1,10
2070073810,9143.8,9
2070074690,12125.1,9
2070075160,17552.8,9
2070077470,23465.8,9
2070077570,17164.5,9
2070078500,17961.4,9
2070078750,46349.2,17
2070079310,9219.6,9
2070084120,104464.3,57
2070085500,281499.6,132
2070085510,237160.9,98
2070085520,210104.7,105
2070085530,204445.1,107
2070085540,135645.4,49
2070085550,116685.0,33
2070085560,103186.7,57
2070085570,93374.3,33
2070085580,91072.5,41
2070085590,84819.3,41
2070085600,82781.8,41
2070085610,72245.2,9
2070085620,71698.1,49
2070085630,69818.1,32
2070085640,65620.4,25
2070085650,62643.1,49
2070085660,57539.9,33
2070085670,56306.2,25
2070085680,54137.8,26
2070085690,52200.3,31
2070085700,49144.2,9
2070085710,48539.9,9
2070085720,43271.9,17
2070085730,41661.1,9
2070085740,37530.6,17
2070085750,37460.2,9
2070085760,37126.1,9
2070085770,33642.1,9
2070085780,33598.5,17
2070085790,32964.9,17
2070085800,32771.6,17
2070085810,29800.4,9
2070085820,28100.2,8
2070085830,27795.3,9
2070085840,26785.1,9
2070085850,26046.1,9
2070085860,25797.6,9
2070085870,25534.1,9
2070085880,24306.5,9
2070085890,22491.9,9
2070085900,21509.4,9
2070085910,21496.5,9
2070085920,21201.2,9
2070085930,21097.1,9
2070085940,21079.0,9
2070085950,20509.8,9
2070085960,18630.2,9
2070085970,18060.8,9
2070085980,18006.3,9
2070086010,15394.9,9
2070086020,15265.0,9
2070086030,15209.3,9
2070086060,13976.2,9
2070086080,13863.1,9
2070086090,13649.2,8
2070086100,13310.8,9
2070086120,12830.4,9
2070086130,12617.6,9
2070086140,12380.1,9
2070086150,12292.3,9
2070086170,11441.0,9
2070086190,11074.8,8
2070086200,10874.5,9
2070086210,10742.9,8
2070086220,10631.3,8
2070086260,10067.8,9
9070000400,3625.1,9
9070000570,7139.3,9
9070000590,210574.6,193
9070001020,72517.4,65
9070002040,6073.8,9
9070002120,8688.5,9
9070002400,10329.1,9
9070003270,49450.1,65
9070003610,35945.2,33
9070003770,3653.3,8
9070004080,3556.0,9
9070004410,12513.5,9
9070004590,28102.6,9
9070004770,16783.1,9
9070005230,4729.2,9
9070005290,7116.2,9
9070005350,4662.8,9
9070005370,11062.8,9
9070005630,6289.0,9
9070005760,34861.2,55
9070005880,20244.0,9
9070006010,7005.2,9
9070006240,15626.5,9
9070006430,3202.1,9
9070007250,4236.1,9
9070007310,3632.7,9
9070007570,3163.6,9
9070007930,10360.0,9
9070007940,3644.9,9
9070008450,24936.3,9
9070008490,18936.3,9
9070008590,18646.4,9
9070009250,5308.0,9
9070009300,11758.5,9
9070009880,38334.0,57
9070010410,126486.1,65
9070010550,129539.9,135
9070011090,6276.9,9
9070011220,57854.5,49
9070011740,59247.6,72
9070012040,92346.3,73
9070013160,5457.3,9
9070013770,8648.8,9
9070014800,61828.6,65
9070015210,31743.3,45
9070015410,5248.6,9
9070015550,13293.1,9
9070015650,11718.5,9
9070015710,19104.9,9
9070016100,20552.8,9
9070016420,6194.5,9
9070017060,9206.4,9
9070017100,6498.0,9
9070017140,4023.9,9
9070017460,76522.3,73
7070002700,18063.9,9
7070004210,10224.5,9
7070004660,18345.8,9
7070005410,111463.9,76
7070005800,9731.7,9
7070006250,12315.3,10
7070006390,122677.3,68
7070006420,25736.3,9
7070006910,10067.4,9
7070007000,16458.5,9
7070007210,12914.1,9
7070007380,34844.0,17
7070007830,72968.8,34
7070008110,25299.6,9
7070008340,25987.3,9
7070008450,12551.8,9
7070008710,620437.5,313
7070013170,11095.2,9
7070013550,124352.6,68
7070014040,9366.1,9
7070014200,31130.4,17
7070014340,13341.7,9
7070014520,12082.6,9
7070014930,651407.2,275
7070016260,230830.7,105
7070019010,51784.9,33
7070019190,19829.5,9
7070020090,50659.0,25
7070020500,17420.4,9
7070021620,50243.3,17
7070021690,13992.4,9
7070021740,302499.9,128
7070022240,1004347.4,537
7070022270,107549.7,49
7070022840,101172.0,49
7070023220,65635.3,25
7070023960,18593.3,9
7070024030,49940.2,25
7070024100,14218.6,9
7070024290,134726.2,49
7070024580,107727.4,49
7070024680,29226.7,9
7070024830,66053.7,25
7070024890,41986.9,17
7070025090,46090.7,33
7070025560,96570.1,49
7070025860,41172.3,9
7070026040,15665.6,9
7070026200,14368.3,9
7070026460,10496.6,9
7070026650,12207.3,9
7070026740,28154.3,9
7070028070,40952.6,25
7070028410,41858.0,17
7070028670,135538.5,57
7070028790,31579.1,9
7070029000,40742.0,17
7070030870,10711.5,9
7070030940,9982.8,9
7070031660,14658.2,9
7070031710,92709.6,41
7070032050,11301.9,9
7070032940,19337.5,9
7070033110,16075.6,9
7070033390,14325.4,9
7070033690,19091.8,9
7070034000,45629.7,25
7070034100,18974.6,9
7070034330,87595.8,41
7070034520,1053293.8,454
7070035470,11962.9,9
7070035860,11751.7,9
7070038320,54912.8,25
7070038810,21864.2,9
7070038980,24591.0,9
7070039160,13016.3,9
7070039620,28999.2,9
7070039870,34791.5,17
7070040360,28584.3,9
7070041050,70980.3,33
7070041400,30316.6,9
7070041900,18243.7,9
7070042240,11996.1,9
7070042310,24471.0,9
7070042740,11711.2,9
7070042940,22841.2,9
7070043090,40953.3,17
7070043160,39730.2,17
7070043500,27174.0,9
7070043640,37509.7,25
7070043860,24673.8,9
7070044770,17056.5,9
7070045480,26559.1,9
7070045890,50745.5,25
7070046130,11890.7,9
7070046390,10984.1,9
7070046590,112530.0,57
7070046870,20909.6,9
7070046900,13745.8,9
7070047060,3179500.3,1294
7070047480,12050.9,9
7070047800,10175.7,9
7070047850,54155.3,25
7070047970,46108.1,25
7070048300,109492.5,51
7070048410,106729.9,60
7070048620,26592.3,9
7070048860,43567.8,17
7070049270,475503.2,338
7070049500,18972.8,9
7070049820,20950.0,9
7070049990,85839.7,62
7070050640,39661.2,17
7070050760,21350.6,9
7070050920,123641.1,62
7070051120,14653.7,9
7070051210,12809.0,9
7070052560,12739.7,9
7070053240,16329.8,9
7070053320,21882.1,9
7070053840,23513.0,9
7070054060,24600.7,9
7070054300,18445.6,9
7070054660,41214.4,18
7070061510,11258.0,9
7070066080,9055.9,9
7070073620,86895.5,36
7070073630,53631.8,9
7070073650,34718.4,17
7070073690,21174.1,9
7070073720,17492.3,9
7070073780,12252.2,8
7070073800,10191.5,9
7070073830,9312.0,9
7070073840,9096.7,9
6070000200,35996.7,9
6070000450,14065.7,9
6070000740,260739.0,113
6070001940,27553.3,9
6070003210,17721.9,9
6070003680,22317.9,9
6070004030,10319.5,9
6070004060,21625.2,9
6070004470,938384.3,458
6070004630,9400.0,9
6070004870,154860.6,65
6070005050,15817.0,9
6070005180,64284.5,33
6070005230,9986.0,9
6070005320,21204.0,9
6070005350,9454.0,9
6070005390,16817.3,9
6070005490,66408.6,17
6070005530,12200.8,9
6070005870,9157.5,9
6070005980,26097.7,9
6070006470,42497.1,17
6070007000,5912760.5,1752
6070007650,52964.9,17
6070007950,772470.5,393
6070008110,26312.7,9
6070008140,49626.2,9
6070008620,34830.1,17
6070008830,13344.3,9
6070009220,40534.7,25
6070009250,55843.1,17
6070009430,52991.7,17
6070009470,15875.4,9
6070009760,332986.5,169
6070010100,14578.8,9
6070010510,73489.6,41
6070010670,41203.8,17
6070011240,19753.5,9
6070011780,637199.3,273
6070011890,16214.2,9
6070012020,36064.8,9
6070012280,54759.6,25
6070012580,55393.1,25
6070012760,31591.8,9
6070012790,70981.5,33
6070013180,15613.6,9
6070013310,12654.3,9
6070013420,82937.2,49
6070013750,57234.2,17
6070014460,24753.1,9
6070014900,15048.7,9
6070015560,71807.9,33
6070015940,56212.2,17
6070016370,13459.8,9
6070016720,71072.9,41
6070016760,266131.6,105
6070016970,2594298.3,1057
6070017380,86110.0,41
6070017530,17421.0,9
6070017970,10321.0,9
6070018280,9897.0,9
6070018850,294183.0,178
6070019090,112937.9,79
6070020000,95222.0,58
6070020950,23937.4,10
6070021180,18118.4,19
6070021210,26959.8,10
6070021450,16309.1,10
6070021500,10480.8,10
6070023980,14020.1,9
6070024060,26814.2,10
6070025130,12294.0,9
6070025410,13162.1,9
6070025560,11388.6,9
6070025900,9149.6,9
6070026290,15088.7,9
6070026380,10227.1,9
6070026510,12125.8,9
6070026750,24252.2,9
6070026990,21105.1,9
6070027220,13785.4,9
6070027290,15099.7,9
6070027770,11698.0,9
6070028110,9790.0,9
6070028290,18467.3,9
6070028470,11048.8,9
6070028860,10581.6,10
6070029040,35438.4,17
6070029490,12936.0,10
6070029580,13581.5,9
6070029610,16997.2,9
6070029720,15431.1,10
6070030200,11035.4,10
6070031400,11979.1,9
6070032050,9569.9,9
6070032100,17760.7,9
6070032610,32684.0,17
6070033220,21626.5,9
6070033560,22420.6,9
6070034060,15396.4,9
6070034580,10779.3,9
6070040460,149003.0,67
6070040470,145279.0,66
6070040480,129875.5,75
6070040490,47350.8,9
6070040500,23805.9,9
6070040510,23382.9,9
6070040560,14461.2,9
6070040580,13084.1,9
6070040600,12710.5,9
6070040640,10654.2,9
6070040650,10550.7,9
6070040660,9179.2,9
3070000230,9950.9,9
3070001840,2467589.3,1150
3070002000,54542.9,25
3070002560,111252.3,41
3070002680,150289.2,73
3070002870,24517.3,9
3070003760,11036.6,9
3070004450,23677.1,9
3070004700,23453.0,9
3070004740,2489752.0,1064
3070005440,169628.7,81
3070005760,9188.1,9
3070006250,123854.8,57
3070006330,9294.4,9
3070007700,13144.3,9
3070007880,300825.8,129
3070007940,48932.6,17
3070008270,9077.6,9
3070008310,89818.7,41
3070008330,19464.1,9
3070008610,217722.9,105
3070009130,2453575.0,1138
3070009510,38863.4,9
3070009670,233392.9,105
3070009770,20718.9,9
3070010150,42763.0,25
3070010470,341227.4,121
3070010550,64313.4,17
3070010830,21526.6,9
3070010910,652963.8,273
3070011110,14003.4,9
3070011410,19522.4,9
3070011430,11879.6,9
3070011680,20818.9,9
3070012340,39692.0,17
3070012400,172111.0,65
3070012480,31254.4,17
3070012640,10355.4,9
3070013050,15392.9,9
3070013560,13874.1,9
3070013620,10932.3,9
3070013890,13456.0,9
3070014970,53172.3,17
3070016150,10727.9,9
3070016910,11534.1,9
3070017010,17604.2,9
3070017720,35403.6,9
3070017760,60100.4,9
3070017940,12881.2,9
3070018390,12139.6,9
3070018920,9467.6,9
3070019510,26138.5,9
3070019750,19373.8,9
3070019900,20674.9,9
3070020100,15394.4,9
3070024310,146784.7,74
3070024330,68548.1,24
3070024390,18323.2,9
