river_name,river_area,N_nodes,sim_nodes,DG,HC,HCE5,HCE10,HCR,HCRE5,HCRE10,BW,BWR,BWC,CL,RW,CO,EI
Agneby,8451.05948426,544,NA,1.99632352941176,29.1812327675378,24.6833124374637,66.5425580918647,0.702460653843381,1.56009953872297,1.80553641327348,8431.24632352941,16862.4926470589,0.54183311726879,5.94824881907183e-05,1.24410134176507e-07,1,2.56119489994193
Ankobra,8442.05505778,619,NA,1.9967689822294,31.3363534690554,24.6133379845042,69.1010170854645,0.697956280710702,1.55843859361449,1.79328348092924,9720.84491114701,19441.6898222944,0.732057290252347,5.21367862899127e-05,1.00296994248647e-07,1,2.54556830780958
Bia,10113.7281402,588,NA,1.99659863945578,28.7076460510886,23.5569823961609,62.6456427945718,0.685726099806292,1.54636794516759,1.7747221169108,10643.3724489796,21286.7448979597,0.772426183731832,4.76363160537116e-05,9.38638953435181e-08,1,2.54744745893338
Boubo,4805.19884427,283,NA,1.99293286219081,21.9512326032042,22.9510224998446,56.7907964636667,0.718864241610328,1.54699237861413,1.78965888333807,2907.7703180212,5815.54063604248,0.589214150258049,0.000170511499090109,6.95080319038807e-07,1,2.54286023921197
Densu,2703.9821756,133,NA,1.98496240601504,15.9028753736555,20.6647729982182,43.7022514154868,0.768179072212649,1.58118310908415,1.84069994395114,832.556390977444,1665.11278195489,0.340699695954861,0.000578568019145083,5.08055979701315e-06,1,2.52408318871188
Decoris,541.766940186,77,NA,1.97402597402597,12.2734673311154,17.6117692070953,32.7889232752153,0.796049438617857,1.5757434517248,1.83750235161687,346.571428571429,693.142857142858,0.209404769460002,0.00134960154547592,2.03320355477222e-05,1,2.51124291925405
Farmington,5064.18666495,928,NA,1.99784482758621,35.6172540346182,24.4752822535664,68.5601379613654,0.680059722231061,1.55264485440855,1.78947891521276,20567.6734913793,41135.3469827604,0.779977985862348,2.47973830166796e-05,3.12465741150238e-08,1,2.55959670961396
Kunene,19826.7032756,955,NA,1.9979057591623,34.2136258471385,23.2321614652095,63.4301067871596,0.670585678696767,1.5393729010101,1.7542924317164,23459.2554973822,46918.5109947699,0.927747302723118,2.16520714142254e-05,2.61593633122609e-08,1,2.54108608635756
Osun,9811.96883412,806,NA,1.99751861042184,33.1623546100277,24.686051411127,66.6421496370395,0.687454788195913,1.5605442707521,1.80698481123403,17136.2369727047,34272.4739454108,0.839358927338844,2.97001135978822e-05,4.30281073027728e-08,1,2.56320206035038
Lagune.Ebrie,3288.30783121,179,NA,1.98882681564246,18.7897327869667,23.0686535574682,52.4121131745465,0.758019564651354,1.5740027654175,1.83870521362144,1250.39664804469,2500.79329608939,0.357058664646296,0.000391016026661523,2.61795295831259e-06,1,2.56629861550072
Lagos.Lagoon,1702.29276013,156,NA,1.98717948717949,17.707295415487,22.599184298546,49.7929074174306,0.764004548310534,1.56629206325564,1.84054250184313,986.929487179487,1973.85897435898,NaN,0.000486189215602282,3.56562042292138e-06,1,2.54144667124704
Lake.Saint.Lucia,9406.45928459,439,NA,1.99544419134396,27.17871257431,25.217847281819,66.2343784521361,0.711556942345488,1.56380030272126,1.80765478449189,5868.31662870159,11736.6332574032,0.79609695038787,8.54939795494011e-05,2.24364893734571e-07,1,2.58969891783921
Lekki.Lagoon,2386.87945602,125,NA,1.984,15.7992720824475,21.043658337756,44.256469329306,0.774252987206614,1.5577865439689,1.83539210233425,696.192,1392.38400000001,0.466171661035319,0.000682859217767018,6.31959170453679e-06,1,2.53944576026806
Me,4141.46757733,315,NA,1.99365079365079,22.432078600242,22.4883051121278,55.8989768320768,0.712635186725152,1.55811681930842,1.78504453409089,3653.57777777778,7307.15555555565,0.684523523172239,0.000138068332160877,5.31898974381696e-07,1,2.5328771779162
Dodo,754.921827805,100,NA,1.98,14.5754960344093,20.6130786424744,40.9378933113178,0.803760971346231,1.58379015130408,1.8643460272942,453.95,907.900000000001,0.148919101808215,0.00103414761341594,1.23540183160458e-05,1,2.53666489426348
